"Expert","Biodiversity","Estimate","Scenario","Value"
"7","Transverse Lady Beetle","HIGHEST","Counterfactual",NA
"7","Transverse Lady Beetle","BEST GUESS","Counterfactual",NA
"7","Ashton (Gypsy) Cuckoo Bumble Bee","LOWEST","Counterfactual",NA
"7","Ashton (Gypsy) Cuckoo Bumble Bee","HIGHEST","Counterfactual",NA
"7","Ashton (Gypsy) Cuckoo Bumble Bee","BEST GUESS","Counterfactual",NA
"7","Suckley's Cuckoo Bumble Bee","LOWEST","Counterfactual",NA
"7","Suckley's Cuckoo Bumble Bee","HIGHEST","Counterfactual",NA
"7","Suckley's Cuckoo Bumble Bee","BEST GUESS","Counterfactual",NA
"7","Western Bumble Bee","LOWEST","Counterfactual",NA
"7","Western Bumble Bee","HIGHEST","Counterfactual",NA
"7","Western Bumble Bee","BEST GUESS","Counterfactual",NA
"7","Yellow-banded Bumble Bee","LOWEST","Counterfactual",NA
"7","Yellow-banded Bumble Bee","HIGHEST","Counterfactual",NA
"7","Yellow-banded Bumble Bee","BEST GUESS","Counterfactual",NA
"7","Porsild's Bryum","LOWEST","Counterfactual",NA
"7","Porsild's Bryum","HIGHEST","Counterfactual",NA
"7","Porsild's Bryum","BEST GUESS","Counterfactual",NA
"7","Evening Grosbeak","LOWEST","Counterfactual","60"
"7","Evening Grosbeak","HIGHEST","Counterfactual","100"
"7","Evening Grosbeak","BEST GUESS","Counterfactual","90"
"8","Bull Trout","LOWEST","Counterfactual","15"
"8","Bull Trout","HIGHEST","Counterfactual","50"
"8","Bull Trout","BEST GUESS","Counterfactual","25"
"8","Rainbow Trout","LOWEST","Counterfactual","15"
"8","Rainbow Trout","HIGHEST","Counterfactual","50"
"8","Rainbow Trout","BEST GUESS","Counterfactual","25"
"8","Western Toad","LOWEST","Counterfactual","15"
"8","Western Toad","HIGHEST","Counterfactual","50"
"8","Western Toad","BEST GUESS","Counterfactual","25"
"8","Barn Swallow","LOWEST","Counterfactual","15"
"8","Barn Swallow","HIGHEST","Counterfactual","50"
"8","Barn Swallow","BEST GUESS","Counterfactual","25"
